,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,margate,100,GB,1601254353,79,51.38,1.39,54.0,8.99
386,lavrentiya,86,RU,1601254353,78,65.58,-171.0,36.86,15.05
387,ambon,75,ID,1601254330,94,-3.7,128.18,77.0,2.24
388,kununurra,42,AU,1601254354,55,-15.77,128.73,87.8,6.93
389,airai,3,TL,1601254355,47,-8.93,125.41,74.91,5.59
390,jaicos,26,BR,1601254355,39,-7.36,-41.14,80.69,5.21
391,paciran,100,ID,1601254356,68,-6.88,112.38,82.13,7.29
392,saldanha,0,ZA,1601254356,80,-33.01,17.94,41.0,2.24
393,srednekolymsk,86,RU,1601254356,47,67.45,153.68,50.38,11.23
394,bozuyuk,27,TR,1601254357,87,39.91,30.04,55.4,1.12
395,opuwo,0,NA,1601254358,41,-18.06,13.84,53.98,3.0
396,chigorodo,100,CO,1601254358,94,7.67,-76.68,74.77,5.91
397,zambezi,86,ZM,1601254359,29,-13.54,23.1,75.78,2.04
398,naivasha,50,KE,1601254359,85,-0.72,36.44,57.0,8.99
399,kodiak,90,US,1601254360,87,57.79,-152.41,48.2,8.05
400,marsh harbour,66,GB,1601254360,86,53.65,-1.81,44.01,2.8
401,lasa,5,IT,1601254361,86,46.62,10.7,41.0,5.82
402,lebork,75,PL,1601254361,87,54.54,17.75,55.0,12.75
403,lichinga,99,MZ,1601254362,68,-13.31,35.24,64.22,10.09
404,palmer,11,US,1601254363,88,42.16,-72.33,72.0,1.01
405,atwater,1,US,1601254364,24,37.35,-120.61,93.2,3.83
406,auki,2,SB,1601254364,66,-8.77,160.7,85.96,5.88
407,sao raimundo das mangabeiras,41,IN,1601254365,97,20.51,76.21,68.2,6.98
408,ilulissat,0,GL,1601254365,79,69.22,-51.1,26.6,1.12
409,ust-maya,100,RU,1601254366,84,60.42,134.53,51.94,8.14
410,vardo,13,NO,1601254366,76,70.37,31.11,44.8,16.04
411,marsabit,3,KE,1601254367,82,2.33,37.99,64.11,16.8
412,sao jose da coroa grande,41,IN,1601254342,97,20.51,76.21,68.2,6.98
413,payo,100,ID,1601254368,73,-3.75,103.64,77.07,0.94
414,bage,90,BR,1601254368,93,-31.33,-54.11,59.0,13.87
415,beringovskiy,0,RU,1601254369,69,63.05,179.32,39.25,9.01
416,lerwick,100,GB,1601254225,87,60.15,-1.15,48.2,9.17
417,aberystwyth,100,GB,1601254370,97,52.42,-4.08,42.01,5.44
418,tilichiki,0,RU,1601254371,73,60.47,166.1,46.04,6.46
419,bathsheba,40,BB,1601254372,78,13.22,-59.52,82.4,13.87
420,onega,1,RU,1601254372,93,63.91,38.14,49.78,5.93
421,manyana,0,BW,1601254373,41,-23.4,21.72,50.2,8.46
422,tefe,0,BR,1601254374,81,-3.35,-64.71,76.59,1.39
423,florence,75,IT,1601254374,93,43.77,11.25,54.0,1.12
424,castle rock,100,GB,1601254375,82,52.14,-0.45,50.0,3.0
425,ketchikan,90,US,1601254375,100,55.34,-131.65,55.4,10.29
426,samarai,100,PG,1601254376,83,-10.62,150.67,80.74,15.82
427,paita,0,PE,1601254376,84,-5.09,-81.11,62.15,15.19
428,balsas,54,BR,1601254377,29,-7.53,-46.04,86.59,2.62
429,altay,34,CN,1601254377,66,47.87,88.12,39.74,1.72
430,santa maria do suacui,100,PH,1601254377,74,17.49,120.43,84.11,3.53
431,carballo,37,ES,1601254378,93,43.21,-8.69,51.01,3.36
432,burnie,0,AU,1601254378,53,-41.07,145.92,55.99,13.0
433,belebey,98,RU,1601254379,78,54.12,54.12,47.97,3.51
434,tabou,23,CI,1601254380,89,4.42,-7.35,76.01,5.99
435,kholmogory,90,RU,1601254380,93,64.22,41.66,51.8,4.47
436,yaring,75,TH,1601254381,78,6.87,101.37,77.0,2.24
437,novoanninskiy,88,RU,1601254381,54,50.53,42.67,48.0,4.0
438,sungai siput utara,59,PH,1601254381,79,8.45,124.4,82.0,3.0
439,jalu,0,LY,1601254382,24,29.03,21.55,85.03,8.37
440,bubaque,100,GW,1601254382,72,11.28,-15.83,81.55,6.06
441,lakatoro,40,VU,1601254383,74,-16.1,167.42,82.4,5.82
442,codrington,0,AU,1601254384,65,-38.27,141.97,53.19,6.58
443,lake cowichan,90,US,1601254384,76,42.33,-88.0,61.0,8.05
444,sao joao da barra,41,IN,1601254385,97,20.51,76.21,68.2,6.98
445,itacare,0,BR,1601254385,85,-14.28,-39.0,70.66,2.51
446,guhagar,100,IN,1601254386,91,17.48,73.19,75.07,4.32
447,shingu,20,JP,1601254386,53,33.73,135.98,73.4,9.17
448,salina,40,US,1601254255,82,38.84,-97.61,57.2,6.93
449,petropavlovsk-kamchatskiy,75,RU,1601254387,75,53.05,158.65,44.6,4.47
450,podporozhye,0,RU,1601254388,85,60.91,34.17,47.68,4.83
451,saint-leu,0,RE,1601254388,64,-21.15,55.28,68.0,6.93
452,tatvan,0,TR,1601254389,48,38.51,42.28,55.51,5.08
453,videira,100,BR,1601254389,89,-27.01,-51.15,63.46,4.41
454,amapa,100,BR,1601254390,94,1.0,-52.0,72.46,4.25
455,at-bashi,99,KG,1601254390,57,41.17,75.81,44.4,2.35
456,ivanivka,0,UA,1601254391,71,46.72,34.55,57.16,3.89
457,semnan,11,IR,1601254391,55,35.57,53.4,61.38,10.11
458,atyrau,0,KZ,1601254392,48,47.12,51.88,44.6,8.95
459,castelnaudary,100,FR,1601254392,93,43.32,1.95,53.01,16.11
460,xuddur,48,SO,1601254393,82,4.12,43.89,70.84,7.23
461,basoko,100,CD,1601254393,96,1.24,23.62,70.75,6.38
462,lincoln,1,US,1601254393,71,40.8,-96.67,61.0,6.93
463,ozark,82,US,1601254175,90,37.02,-93.21,55.99,7.0
464,namibe,16,AO,1601254394,89,-15.2,12.15,61.43,3.83
465,jiayuguan,14,CN,1601254395,36,39.82,98.3,54.48,5.35
466,dovers,100,VC,1601254395,75,12.88,-61.18,84.51,17.38
467,holoby,0,UA,1601254397,98,51.09,25.01,46.99,6.62
468,sokoto,3,NG,1601254397,66,13.06,5.24,80.01,7.72
469,golden,90,US,1601254398,53,39.76,-105.22,50.0,14.99
470,gat,0,IL,1601254201,79,31.61,34.76,77.0,5.03
471,bertoua,54,CM,1601254399,98,4.58,13.68,66.47,4.76
472,guantanamo,40,CU,1601254399,70,20.14,-75.21,86.0,9.17
